Totemic Shaman,Spirit/Nature,Beast,3,2,Human,Sacrifice totemic shaman and search your spellbook for an animal and put it into play. You lose or gain life force equal to the dfference in Totemic Shaman and the animal's life force.,none,
Silver Stag,Spirit,Beast,2,0,Animal,Search for spellbook for a Circle of Spirit and put it into play.,Familiar,
Spirit of Lightning,Spirit,Beast,3,3,Spirit,none,Fast,
Exorcise,Spirit,Reaction,* ,none,none,Destroy a beast that is trying to attack or use an ability. Exorcise cannot be used on animals. Exorcise costs life force equal to the life force of the beast.,none,
Soul Ward,Spirit,Enchmantment,1,none,none,Your spirit beasts lose 1 less life force when attacked.,none,
Minor Angel,Spirit,Beast,2,2,Angel,Minor Angel gives you 1 life force.,none,
Spirit of Thunder,Spirit,Beast,4,4,Spirit,"Spirit of Thunder may attack the turn it comes into play. When Spirit of Thunder attacks, lose 2 life force unless you have two spirit circles in play.",none,
"Omra, Guardian Angel",Spirit,Beast,7,7,Angel,"Omra may return any non-demon beast to play from your void. At the end of any turn in which you do not control a greater circle of spirit, Omra is destroyed and you skip your next turn.",none,
Greater Circle of Spirit,Spirit,Greater Circle,0,none,none,All of your spirit spells require 2 less life force. You must have a Circle of Spirits in play to place this circle.,none,
Circle of Spirit,Spirit,Circle,0,none,none,All of your spirit spells require 1 less life force.,none,
Circle of Life and Death,Necromancy/Spirit,Greater Circle,0,none,none,All of your necromancy and spirit spells require 1 less life force. You must have a Circle of Necromancy or Circle of Spirit to place this circle.,none,
Circle of Unholy Power,Necromancy/Elemental,Greater Circle,0,none,none,All of your necromancy and elemental spells require 1 less life force. You must have a Circle of Necromancy or Circle of the Elements to place this circle.,none,
Black Cat,Necromancy,Beast,2,0,Animal,Search for spellbook for a Circle of Necromancy and put it into play.,Familiar,
Animate Skeleton,Necromancy,Reaction,2,none,none,"Instead of a beast dying, put it back into play with +1 life force. It can no longer use it's abilities.",none,
Animate Zombie,Necromancy,Reaction,3,none,none,"Instead of a beast dying, put it back into play. It has life force equal to what it started the turn with.",none,
Deadly Ward,Necromancy,Enchmantment,1,none,none,Your necromancy beasts lose 1 less life force when attacked.,none,
Mist of Death,Necromancy,Ritual,4,none,none,Destroy all beasts.,none,
Banshee,Necromancy,Beast,1,0,Ghost,Each player and each beast besides Banshee loses one life force.,none,
Raving Ghost,Necromancy,Beast,1,0,Ghost,All of your opponent's rituals and reactions cost one more life force to play.,none,The ravings of the dead make it hard to concentrate.
Minor Imp,Necromancy,Beast,2,3,Demon,You lose one life force at the end of each turn equal to Minor Imp's power minus the number of Circles of Necromancy you have in play.,none,
Demon of the Inner Circle,Necromancy,Beast,4,6,Demon,You lose one life force at the end of each turn equal to Demon of the Inner Circle's power minus the number of Circles of Necromancy you have in play.,none,
"Lathrax, Lord of the Seventh Ring",Necromancy,Beast,7,7,Demon,"Lathrax may destroy any non-angel beast. At the end of any turn in which you do not control a greater circle of necromancy, Lathrax removes 7 of your life force and is destroyed.",none,
Greater Circle of Necromancy,Necromancy,Greater Circle,0,none,none,All of your necromancy spells require 2 less life force. You must have a Circle of Necromancy in play to place this circle.,none,
Circle of Necromancy,Necromancy,Circle,0,none,none,All of your necromancy spells require 1 less life force.,none,
Circle of the Shaman,Nature/Spirit,Greater Circle,0,none,none,All of your nature and spirit spells require 1 less life force. You must have a Circle of Nature or Circle of Spirit to place this circle.,none,
Despoil the Earth,Nature/Necromancy,Ritual,3,none,none,Destroy a place.,none,
